Date,Open,High,Low,Close,Volume,Adj Close
3/19/12,35.259998,35.32,33.150002,34.080002,776500,34.080002
3/26/12,35.59,39.950001,35.040001,37.240002,1663500,37.240002
4/2/12,37.330002,38.470001,34.41,34.48,2029400,34.48
4/9/12,34.099998,34.48,32.009998,33.59,1258400,33.59
4/16/12,33.41,33.73,31.530001,33.16,926900,33.16
4/23/12,32.860001,33.630001,31,33.34,658700,33.34
4/30/12,33.27,34.389999,31.4,31.83,731800,31.83
5/7/12,31.959999,34.68,29.370001,32.25,2596100,32.25
5/14/12,31.92,32.130001,26.83,27.559999,1397800,27.559999
5/21/12,27.58,31.34,27.120001,29.809999,1378800,29.809999
5/29/12,30.01,31.93,27.76,28.15,1240400,28.15
6/4/12,28.030001,30.190001,27.110001,30.08,788900,30.08
6/11/12,30.309999,31,28.620001,29.91,713600,29.91
6/18/12,29.940001,34.5,29.5,33.790001,2105700,33.790001
6/25/12,33.939999,34.119999,30.620001,31.290001,1439900,31.290001
7/2/12,31.35,31.799999,30.190001,30.99,1075200,30.99
7/9/12,30.940001,34.400002,30.67,34.25,947600,34.25
7/16/12,34.32,36,31.059999,31.790001,2039900,31.790001
7/23/12,31.049999,31.299999,27.639999,29.51,1932900,29.51
7/30/12,29.51,30.25,25.52,27.27,1549400,27.27
8/6/12,27.549999,30.9,27.549999,29.940001,1320800,29.940001
8/13/12,29.690001,31.299999,28.809999,30.01,673200,30.01
8/20/12,30.15,30.85,29,29.5,1123300,29.5
8/27/12,29.57,29.700001,28,28.52,957600,28.52
9/4/12,28.52,29.57,27.809999,29.35,796600,29.35
9/10/12,29.200001,30.65,27.299999,30.389999,1332900,30.389999
9/17/12,32.349998,32.779999,29.540001,30.02,1766400,30.02
9/24/12,29.51,31.030001,27.48,29.280001,2922300,29.280001
10/1/12,29.5,30.1,28.65,28.889999,1029200,28.889999
10/8/12,28.860001,29.4,27.5,27.639999,804900,27.639999
10/15/12,28.02,28.99,26.860001,27.74,876800,27.74
10/22/12,27.99,28.559999,27.02,27.379999,658100,27.379999
10/31/12,27.700001,29.549999,27.370001,28.92,943200,28.92
11/5/12,29.799999,32.049999,29.33,30.32,1644800,30.32
11/12/12,30.290001,32.119999,30.16,31.84,863600,31.84
11/19/12,32.07,33.470001,31.700001,32.130001,927100,32.130001
11/26/12,32.099998,34.290001,31.52,33.82,1091100,33.82
12/3/12,33.889999,35,33.5,34.169998,1067000,34.169998
12/10/12,34.43,35.799999,32.75,33.810001,1548100,33.810001
12/17/12,33.77,35.259998,33.580002,34,1218200,34
12/24/12,33.639999,34.5,33,33.220001,488100,33.220001
12/31/12,33,35.450001,33,34.400002,801400,34.400002
1/7/13,34.799999,34.799999,32.110001,32.91,981900,32.91
1/14/13,33.080002,34.849998,32.849998,34.52,1783800,34.52
1/22/13,34.560001,37.720001,34.259998,36.98,1685600,36.98
1/28/13,36.860001,38.709999,36.860001,38.299999,1276500,38.299999
2/4/13,38.400002,40,37.59,39.240002,1333500,39.240002
2/11/13,37.98,39.150002,36.950001,37.040001,1900500,37.040001
2/19/13,37.360001,39.650002,34.540001,36.110001,4352100,36.110001
2/25/13,36.150002,36.75,33.799999,34.650002,2224600,34.650002
3/4/13,34.77,39.439999,34.700001,38.470001,1413000,38.470001
3/11/13,38.869999,39.490002,35.209999,35.290001,1795400,35.290001
3/18/13,35.299999,37.060001,34.919998,36.619999,1084800,36.619999
3/25/13,37.099998,38.52,36.77,37.889999,1660500,37.889999
4/1/13,42.360001,46.68,40.209999,41.369999,6042300,41.369999
4/8/13,41.970001,45.139999,40.330002,43.75,2418600,43.75
4/15/13,43.5,49.880001,42.509998,47.830002,2671900,47.830002
4/22/13,48.599998,53.740002,47.75,51.200001,3344200,51.200001
4/29/13,51.759998,58.18,51.200001,54.549999,3666800,54.549999
5/6/13,56.389999,81,55.119999,76.760002,14963000,76.760002
5/13/13,80.989998,97.120003,78.110001,91.5,23415100,91.5
5/20/13,91.120003,97.949997,83.050003,97.080002,10812200,97.080002
5/28/13,101.550003,114.900002,97.730003,97.760002,19024200,97.760002
6/3/13,97.620003,102.900002,88.25,102.040001,12088600,102.040001
6/10/13,98.93,102.519997,94.050003,100.300003,7668300,100.300003
6/17/13,103.599998,107.129997,97.5,99.550003,9253100,99.550003
6/24/13,96.5,110.25,95.300003,107.360001,6812900,107.360001
7/1/13,109.360001,121.889999,109.150002,120.089996,8648200,120.089996
7/8/13,121.370003,129.940002,118.82,129.899994,8169000,129.899994
7/15/13,133.029999,133.259995,104.5,119.68,17122300,119.68
7/22/13,119.889999,130.679993,119.559998,129.389999,7864100,129.389999
7/29/13,129.320007,138.25,128.179993,138,8150200,138
8/5/13,140.009995,158.880005,132.360001,153,14768300,153
8/12/13,149.429993,150.5,135,142,10528400,142
8/19/13,143.429993,162.300003,142.830002,161.839996,8849300,161.839996
8/26/13,165.149994,173,160.25,169,15388500,169
9/3/13,173.399994,173.699997,165.149994,166.970001,9710400,166.970001
9/9/13,163.119995,167.899994,158.509995,165.539993,8141200,165.539993
9/16/13,168,185.830002,163.360001,183.389999,9501500,183.389999
9/23/13,184.479996,191.279999,177.110001,190.899994,7046000,190.899994
9/30/13,189,194.5,168,180.979996,15137300,180.979996
10/7/13,182.460007,186.729996,161.5,178.699997,11550800,178.699997
10/14/13,175,188.789993,174.149994,183.399994,7917800,183.399994
10/21/13,183.279999,183.389999,160.149994,169.660004,10932000,169.660004
10/28/13,170.179993,170.5,153,162.169998,9373900,162.169998
11/4/13,165,181.429993,132.320007,137.949997,22284300,137.949997
11/11/13,141,145.419998,134.110001,135.449997,12749000,135.449997
11/18/13,135.270004,135.449997,117.93,121.379997,15960900,121.379997
11/25/13,124.5,130.589996,116.099998,127.279999,11559100,127.279999
12/2/13,126.349998,144.940002,123.93,137.360001,12755800,137.360001
12/9/13,137,151.800003,134.210007,147.649994,9661400,147.649994
12/16/13,148.479996,154.899994,139.100006,143.240005,9780900,143.240005
12/23/13,144.850006,158,142.600006,151.119995,6979100,151.119995
12/30/13,151.119995,154.809998,146.550003,149.559998,4903300,149.559998
1/6/14,150,153.699997,142.25,145.720001,5877300,145.720001
1/13/14,145.779999,173.199997,136.669998,170.009995,15110800,170.009995
1/21/14,171.240005,182.380005,170.809998,174.600006,8072200,174.600006
1/27/14,175.160004,186,164.710007,181.410004,7163800,181.410004
2/3/14,182.889999,186.630005,169.360001,186.529999,6697800,186.529999
2/10/14,189.339996,202.720001,189.320007,198.229996,8608300,198.229996
2/18/14,205.240005,215.210007,193.410004,209.600006,12830700,209.600006
2/24/14,208.759995,265,208.320007,244.809998,19620000,244.809998
3/3/14,237.259995,260,234.990005,246.210007,8588800,246.210007
3/10/14,242.699997,247.5,228.320007,230.970001,8163700,230.970001
3/17/14,234.949997,241.550003,227.5,228.889999,5852200,228.889999
3/24/14,229.75,229.899994,203,212.369995,9056400,212.369995
3/31/14,216.5,235.729996,206.389999,212.229996,9760600,212.229996
4/7/14,205.809998,218.449997,198.600006,203.779999,7636200,203.779999
4/14/14,207.600006,208.440002,184.320007,198.119995,8622800,198.119995
4/21/14,197.080002,219.330002,194,199.850006,6970000,199.850006
4/28/14,200,214.020004,190.5,210.910004,5357600,210.910004
5/5/14,209.479996,218.660004,177.220001,182.259995,9902900,182.259995
5/12/14,183.869995,193.479996,179.880005,191.559998,6006800,191.559998
5/19/14,190.720001,207.759995,190,207.300003,5124900,207.300003
5/27/14,208.520004,214.800003,205.259995,207.770004,5027400,207.770004
6/2/14,207.330002,210.809998,200.399994,208.169998,3816900,208.169998
6/9/14,207.949997,209.990005,199.25,206.419998,3967100,206.419998
6/16/14,206.759995,235.539993,206.259995,229.589996,9437700,229.589996
6/23/14,229.509995,241.880005,228.220001,239.059998,6485000,239.059998
6/30/14,239.550003,244.490005,224,229.25,5589700,229.25
7/7/14,227.5,229.779999,214.270004,218.130005,5202300,218.130005
7/14/14,219.990005,228.789993,213.600006,220.020004,5173800,220.020004
7/21/14,217.25,226.970001,216.720001,223.570007,3193600,223.570007
7/28/14,224.25,237.5,221.039993,233.270004,6893800,233.270004
8/4/14,234.380005,256.690002,233.270004,248.130005,6633300,248.130005
8/11/14,255.479996,265.640015,254.580002,262.01001,5882100,262.01001
8/18/14,263.25,267.26001,251.619995,256.779999,3992100,256.779999
8/25/14,258.190002,272,258.190002,269.700012,4082600,269.700012
9/2/14,275.5,291.420013,272.51001,277.390015,9034000,277.390015
9/8/14,277.619995,285.48999,273.660004,279.200012,4186400,279.200012
9/15/14,274.369995,274.399994,249.130005,259.320007,8087300,259.320007
9/22/14,255,256.019989,244.710007,246.600006,5250300,246.600006
9/29/14,244,256.5,235.649994,255.210007,5887400,255.210007
