"","pos","last.week","peak","weeks.on.chart","title","artist","chart.entry.date","entry.position","overall.peak","overall.weeks.on.chart","chart.date","concurrent.count","artist.relevancy"
"129",29,"30",29,11,"Prayer In C","LILLYWOOD & ROBIN SCHULZ",41993,87,23,12,20150228,0,1
"130",30,"27",16,21,"No Type","RAE SREMMURD",41923,77,16,22,20150228,0,3
"131",31,"28",3,26,"Animals","MAROON 5",41888,86,3,27,20150228,0,15
"132",32,"33",30,34,"Riptide","VANCE JOY",41832,92,30,35,20150228,0,1
"133",33,"36",33,6,"Ayo","CHRIS BROWN & TYGA",42028,40,32,7,20150228,0,1
"134",34,"24",6,15,"The Heart Wants What It Wants","SELENA GOMEZ",41965,25,6,16,20150228,0,9
"135",35,"39",17,6,"Elastic Heart","SIA",42028,17,17,7,20150228,0,20
"136",36,"42",36,7,"Take Your Time","SAM HUNT",42021,93,36,8,20150228,0,2
"137",37,"59",37,4,"Somebody","NATALIE LA ROSE featuring JEREMIH",42042,94,27,5,20150228,0,1
"138",38,"43",9,36,"Don't","ED SHEERAN",41818,46,9,36,20150228,0,11
"139",39,"38",3,29,"Bang Bang","JESSIE J, ARIANA GRANDE & NICKI MINAJ",41867,6,3,30,20150228,0,1
"140",40,"37",12,21,"Tuesday","I LOVE MAKONNEN featuring DRAKE",41923,90,12,22,20150228,0,1
"141",41,"60",41,4,"Trap Queen","FETTY WAP",42042,86,35,5,20150228,0,1
"142",42,"47",42,7,"Outside","CALVIN HARRIS featuring ELLIE GOULDING",42021,90,42,8,20150228,0,2
"143",43,"49",43,14,"Make Me Wanna","THOMAS RHETT",41972,99,43,15,20150228,0,5
"144",44,"34",34,5,"Heartbeat Song","KELLY CLARKSON",42035,37,34,6,20150228,0,13
"145",45,"69",45,3,"Only One","KANYE WEST featuring PAUL McCARTNEY",42049,68,45,4,20150228,0,1
"146",46,"44",41,12,"I See You","LUKE BRYAN",41986,89,41,13,20150228,0,16
"147",47,"41",3,38,"Habits (Stay High)","TOVE LO",41804,66,3,39,20150228,0,3
"148",48,"48",44,16,"Sun Daze","FLORIDA GEORGIA LINE",41958,95,44,17,20150228,0,11
"149",49,"101",49,1,"Energy","DRAKE",42063,49,26,2,20150228,0,82
"150",50,"50",31,13,"Night Changes","ONE DIRECTION",41979,55,31,14,20150228,0,19
"151",51,"51",48,11,"Lonely Tonight","BLAKE SHELTON featuring ASHLEY MONROE",41993,95,47,12,20150228,0,1
"152",52,"45",43,8,"Stuck On A Feeling","PRINCE ROYCE featuring SNOOP DOGG",42014,93,43,9,20150228,0,1
"153",53,"54",53,2,"Blessings","BIG SEAN featuring DRAKE",42056,54,53,3,20150228,0,1
"154",54,"63",54,13,"I Bet My Life","IMAGINE DRAGONS",41979,72,28,14,20150228,0,7
"155",55,"55",32,12,"I Lived","ONEREPUBLIC",41986,71,32,13,20150228,0,8
"156",56,"76",56,3,"Chains","NICK JONAS",42049,92,42,4,20150228,0,4
"157",57,"66",57,12,"Shut Up And Dance","WALK THE MOON",41986,88,48,13,20150228,0,2
"158",58,"75",58,2,"Lay Me Down","SAM SMITH",42056,75,58,3,20150228,0,7
"159",59,"58",58,9,"Apparently","J. COLE",42007,90,58,10,20150228,0,10
"160",60,"61",43,9,"Feeling Myself","NICKI MINAJ featuring BEYONCE",42007,43,43,10,20150228,0,1
"161",61,"67",59,18,"Often","THE WEEKND",41944,97,59,19,20150228,0,6
"162",62,"56",31,20,"Heroes (We Could Be)","ALESSO featuring TOVE LO",41930,89,31,20,20150228,0,1
"163",63,"65",63,15,"Mean To Me","BRETT ELDREDGE",41965,95,57,16,20150228,0,3
"164",64,"62",59,11,"Just Gettin' Started","JASON ALDEAN",41993,94,59,12,20150228,0,18
"165",65,"64",60,18,"Drinking Class","LEE BRICE",41944,99,60,19,20150228,0,7
"166",66,"68",62,11,"Like A Cowboy","RANDY HOUSER",41993,98,62,12,20150228,0,4
"167",67,"70",67,7,"Ain't Worth The Whiskey","COLE SWINDELL",42021,99,59,8,20150228,0,3
"168",68,"57",43,17,"Talladega","ERIC CHURCH",41951,90,43,18,20150228,0,13
"169",69,"72",48,5,"Homegrown","ZAC BROWN BAND",42035,48,48,6,20150228,0,12
"170",70,"83",70,3,"Talking Body","TOVE LO",42049,95,65,4,20150228,0,3
"171",71,"73",70,9,"Lonely Eyes","CHRIS YOUNG",42007,95,70,10,20150228,0,10
"172",72,"52",40,12,"Sledgehammer","FIFTH HARMONY",41986,93,40,13,20150228,0,4
"173",73,"53",12,12,"The Hanging Tree","JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE",41986,12,12,13,20150228,0,1
"174",74,"78",74,7,"Geronimo","SHEPPARD",42021,96,74,8,20150228,0,1
"175",75,"77",67,7,"Throw Sum Mo","RAE SREMMURD featuring NICKI MINAJ & YOUNG THUG",42021,92,67,8,20150228,0,1
"176",76,"101",76,1,"Little Red Wagon","MIRANDA LAMBERT",42063,76,76,2,20150228,0,13
"177",77,"79",77,10,"Homegrown Honey","DARIUS RUCKER",42000,97,73,11,20150228,0,7
"178",78,"71",45,17,"Try Me","DEJ LOAF",41951,67,45,18,20150228,0,1
"179",79,"74",24,20,"Something In The Water","CARRIE UNDERWOOD",41930,24,24,20,20150228,0,11
"180",80,"101",80,1,"One Last Time","ARIANA GRANDE",42063,80,34,2,20150228,0,13
"181",81,"81",81,5,"Say You Do","DIERKS BENTLEY",42035,96,79,6,20150228,0,8
"182",82,"84",80,6,"Post To Be","OMARION featuring CHRIS BROWN & JHENE AIKO",42028,98,54,7,20150228,0,1
"183",83,"86",82,7,"Take It On Back","CHASE BRYANT",42021,98,82,8,20150228,0,1
"184",84,"82",38,20,"Shotgun Rider","TIM McGRAW",41930,97,38,20,20150228,0,12
"185",85,"101",85,1,"Preach","DRAKE featuring PARTYNEXTDOOR",42063,85,82,2,20150228,0,1
"186",86,"101",86,1,"Legend","DRAKE",42063,86,52,2,20150228,0,82
"187",87,"90",87,7,"A Guy Walks Into A Bar","TYLER FARR",42021,97,86,8,20150228,0,3
"188",88,"101",88,1,"10 Bands","DRAKE",42063,88,58,2,20150228,0,82
"189",89,"87",87,5,"The Body","WALE featuring JEREMIH",42035,98,87,6,20150228,0,2
"190",90,"80",80,6,"Not For Long","B.O.B featuring TREY SONGZ",42028,96,80,7,20150228,0,1
"191",91,"101",91,1,"Used To","DRAKE featuring LIL WAYNE",42063,91,84,2,20150228,0,5
"192",92,"88",81,3,"Budapest","GEORGE EZRA",42049,81,81,4,20150228,0,1
"193",93,"101",93,1,"Uma Thurman","FALL OUT BOY",42063,93,93,1,20150228,0,7
"194",94,"89",89,7,"What We Ain't Got","JAKE OWEN",42021,95,89,8,20150228,0,8
"195",95,"101",95,1,"Where You Belong","THE WEEKND",42063,95,95,1,20150228,0,6
"196",96,"101",96,1,"Honey, I'm Good.","ANDY GRAMMER",42063,96,96,1,20150228,0,3
"197",97,"101",97,1,"I Put A Spell On You","ANNIE LENNOX",42063,97,97,1,20150228,0,1
"198",98,"101",98,1,"Shots","IMAGINE DRAGONS",42063,98,89,2,20150228,0,7
"199",99,"101",99,1,"Keep Your Money","EMPIRE CAST featuring JUSSIE SMOLLETT",42063,99,99,1,20150228,0,1
"200",100,"101",100,1,"What Kind Of Man","FLORENCE + THE MACHINE",42063,100,88,2,20150228,0,0
"201",1,"1",1,13,"Uptown Funk!","MARK RONSON featuring BRUNO MARS",41972,65,1,15,20150221,0,1
"202",2,"2",2,18,"Thinking Out Loud","ED SHEERAN",41937,69,2,20,20150221,0,11
"203",3,"3",2,26,"Take Me To Church","HOZIER",41881,96,2,28,20150221,0,1
"204",4,"5",4,4,"Sugar","MAROON 5",42035,8,4,6,20150221,0,15
"205",5,"4",1,15,"Blank Space","TAYLOR SWIFT",41958,18,1,17,20150221,0,49
"206",6,"15",6,3,"FourFiveSeconds","RIHANNA & KANYE WEST & PAUL McCARTNEY",42042,54,4,5,20150221,0,1
"207",7,"6",4,16,"Lips Are Movin'","MEGHAN TRAINOR",41951,93,4,18,20150221,0,4
"208",8,"7",5,22,"I'm Not The Only One","SAM SMITH",41909,93,5,24,20150221,0,7
"209",9,"14",9,5,"Love Me Like You Do","ELLIE GOULDING",42028,45,3,7,20150221,0,8
"210",10,"9",1,25,"Shake It Off","TAYLOR SWIFT",41888,1,1,27,20150221,0,49
"211",11,"11",11,8,"Time Of Our Lives","PITBULL & NE-YO",42007,87,11,10,20150221,0,1
"212",12,"8",7,22,"Jealous","NICK JONAS",41909,78,7,24,20150221,0,4
"213",13,"13",13,12,"I Don't Mind","USHER featuring JUICY J",41979,95,13,14,20150221,0,1
"214",14,"21",2,43,"Stay With Me","SAM SMITH",41762,93,2,45,20150221,0,7
"215",15,"10",10,22,"Centuries","FALL OUT BOY",41909,22,10,24,20150221,0,7
"216",16,"12",1,31,"All About That Bass","MEGHAN TRAINOR",41846,84,1,33,20150221,0,4
"217",17,"17",12,15,"Only","NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",41958,54,12,17,20150221,0,1
"218",18,"29",18,7,"Style","TAYLOR SWIFT",42014,84,8,9,20150221,0,49
"219",19,"18",11,20,"I Don't Fuck With You","BIG SEAN featuring E-40",41923,70,11,22,20150221,0,1
"220",20,"22",13,11,"42196","BEYONCE",41986,18,13,13,20150221,0,20
"221",21,"16",7,18,"Love Me Harder","ARIANA GRANDE & THE WEEKND",41937,79,7,20,20150221,0,1
"222",22,"20",20,12,"CoCo","O.T. GENASIS",41979,77,20,14,20150221,0,1
"223",23,"25",23,11,"She Knows","NE-YO featuring JUICY J",41986,96,22,13,20150221,0,1
"224",24,"19",6,14,"The Heart Wants What It Wants","SELENA GOMEZ",41965,25,6,16,20150221,0,9
"225",25,"26",22,15,"Ghost","ELLA HENDERSON",41958,75,21,17,20150221,0,1
"226",26,"27",26,3,"Truffle Butter","NICKI MINAJ featuring DRAKE & LIL WAYNE",42042,71,17,5,20150221,0,1
"227",27,"24",16,20,"No Type","RAE SREMMURD",41923,77,16,22,20150221,0,3
"228",28,"23",3,25,"Animals","MAROON 5",41888,86,3,27,20150221,0,15
"229",29,"38",27,7,"Earned It (Fifty Shades Of Grey)","THE WEEKND",42014,49,9,9,20150221,0,6
"230",30,"33",30,10,"Prayer In C","LILLYWOOD & ROBIN SCHULZ",41993,87,23,12,20150221,0,1
"231",31,"31",31,10,"G.D.F.R.","FLO RIDA featuring SAGE THE GEMINI & LOOKAS",41993,97,28,12,20150221,0,1
"232",32,"37",8,40,"Chandelier","SIA",41783,75,8,42,20150221,0,20
"233",33,"32",30,33,"Riptide","VANCE JOY",41832,92,30,35,20150221,0,1
"234",34,"56",34,4,"Heartbeat Song","KELLY CLARKSON",42035,37,34,6,20150221,0,13
"235",35,"101",35,1,"Work It","MISSY MISDEMEANOR ELLIOTT",42056,35,35,1,20150221,0,2
"236",36,"57",36,5,"Ayo","CHRIS BROWN & TYGA",42028,40,32,7,20150221,0,1
"237",37,"30",12,20,"Tuesday","I LOVE MAKONNEN featuring DRAKE",41923,90,12,22,20150221,0,1
"238",38,"35",3,28,"Bang Bang","JESSIE J, ARIANA GRANDE & NICKI MINAJ",41867,6,3,30,20150221,0,1
"239",39,"36",17,5,"Elastic Heart","SIA",42028,17,17,7,20150221,0,20
"240",40,"101",40,1,"Get Ur Freak On","MISSY MISDEMEANOR ELLIOTT",42056,40,40,1,20150221,0,2
"241",41,"34",3,37,"Habits (Stay High)","TOVE LO",41804,66,3,39,20150221,0,3
"242",42,"49",42,6,"Take Your Time","SAM HUNT",42021,93,36,8,20150221,0,2
"243",43,"40",9,35,"Don't","ED SHEERAN",41818,46,9,36,20150221,0,11
"244",44,"41",41,11,"I See You","LUKE BRYAN",41986,89,41,13,20150221,0,16
"245",45,"43",43,7,"Stuck On A Feeling","PRINCE ROYCE featuring SNOOP DOGG",42014,93,43,9,20150221,0,1
"246",46,"39",14,25,"Waves","MR. PROBZ",41888,88,14,25,20150221,0,1
"247",47,"50",47,6,"Outside","CALVIN HARRIS featuring ELLIE GOULDING",42021,90,42,8,20150221,0,2
